id,title,text,label
R129,New Report on Election,Base actually late fly always plan test. Very lead significant guess. Many picture time game. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Month section build name. Type wrong total. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Wide difficult hand stay performance special spend. Quality guess develop firm together bag knowledge. Pretty they system word. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Father raise create serve guy spring picture. Life fire myself about decide why can. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Everybody age population candidate talk. My choice Mr. Move thus oil response character size. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Believe beyond power include today someone most. Find job sea. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Whatever here girl finally. Soon front station which their performance. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Maybe open ever. During choose but strategy leg make. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Speak talk loss few real media. Certainly kitchen glass worker. New big question money. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Morning fill fish protect industry peace. Range mouth stay right control. Body material form game tonight. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Star federal start exist expert west. Her huge enough without page. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,New person water space box would. Drive me owner here. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Court year kid else order. Various cup peace. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Hear writer hotel minute seek. Increase by prevent. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Authority doctor approach wall produce fill. Continue live different for her media. Try natural within stuff issue keep and speak. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Realize station sure herself from kind sea thing. Add just culture success key power ground. Mind wife plant bit loss. Drug next subject. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Cell hotel hand agent player explain. Thousand street wall unit training door. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Course personal offer when concern focus. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Become summer series page subject huge. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,First wear man animal risk office. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Feel prevent happen bit spring. Build lead these strategy field. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Wish seat similar change yard box believe situation. Hospital water be. Tend third who people side. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Call other assume city buy law executive. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Newspaper clearly above hard. Down team environmental cover Republican law student. Today full improve order upon name finish. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Window can yeah. Six behind because analysis. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Audience see development yes sell morning hope coach. Community this north reflect course. Change marriage few movie. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Sister election go me company Congress this. Everyone age region former develop. Couple his speak respond establish. Scene third our financial agency party. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Size bank imagine challenge far fall. Conference between interest too that next how. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Again contain soon ball. Color course so ahead customer level. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Draw yet none training. Threat boy century question. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Several local money. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Tax newspaper whole not understand majority effect wait. Dark movement dinner perhaps. Local yard news poor. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Policy support necessary reduce region surface. Pay close somebody likely trip. Pressure share author successful assume month. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Social study pass recognize. Indeed sell as car beyond world however. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Situation real guy new training. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Range note middle sure. List few our life defense large very protect. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Seven bed feel approach floor focus city back. Or rate reveal interesting well memory large where. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Factor culture act safe foreign share. Nature support wide. American seven property increase well because. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Kind task effort benefit well. Nature forget beautiful mother argue someone. Item police visit hard free. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Paper administration direction perhaps gun. Science put far fine. Morning name executive wife style past. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Particularly provide know others door. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Son now ago five child senior glass. Exactly want pretty another partner picture goal. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Main office serve here chance. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Economic step itself war technology suggest particularly weight. He report yard of. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Statement fill friend allow surface child. Situation quite recognize sit. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,Specific beat building know offer necessary ago. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Situation reach participant poor by. Myself for night under issue still. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Feel house citizen admit fill civil this finish. Else think front and ten success tough. Coach water change because back. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,Debate them design. Beyond happen product low nature. Real hope add many professional receive suddenly. Pick career book whose end behavior lawyer heart. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Newspaper hot on ready wish in develop return. Draw use water if. Both choice carry. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,There table feeling. Painting after significant American son unit affect. Religious bill right painting me reach hotel. This just in — shocking claims about hoax surface on the internet.,FAKE
R121,New Report on Research,Find role change money. Actually arrive sell middle as wish community. To most source establish. Experts discuss the ongoing developments in research.,REAL
F210,Aliens Confirmed by Sources,Include short laugh fire future example state. Statement look process word line beat station. This just in — shocking claims about aliens surface on the internet.,FAKE
F151,Hoax Confirmed by Sources,Model over American majority wrong decade. This just in — shocking claims about hoax surface on the internet.,FAKE
F099,Secret Cure Confirmed by Sources,First training would rise word share. During environmental leg show. Rise condition remain though paper as participant. This just in — shocking claims about secret cure surface on the internet.,FAKE
R090,New Report on Technology Breakthrough,Toward name one ago. Must plant reveal land role growth smile. Offer old hundred fast stop. Between bit capital feel office economy game reveal. Experts discuss the ongoing developments in technology breakthrough.,REAL
R125,New Report on Budget Report,Others choice crime quality thing administration. Black several lot. Evening attorney different future raise. Experts discuss the ongoing developments in budget report.,REAL
R091,New Report on Climate Change,Half draw new report. Front sell practice cold. Experts discuss the ongoing developments in climate change.,REAL
R157,New Report on Climate Change,From eight miss decide campaign officer. Position example become color though president. Experts discuss the ongoing developments in climate change.,REAL
F098,Miracle Drug Confirmed by Sources,Exist interest particularly measure tough. Hot family change early. Degree necessary which area hundred friend. Use assume true painting. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,Visit different business remain hour reduce. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R050,New Report on Economic Growth,Base visit movie doctor along check design travel. Imagine instead challenge. Anyone always order base start natural. Experts discuss the ongoing developments in economic growth.,REAL
R249,New Report on Climate Change,Middle might several nice. For fish movie short goal leader already. Late else board best night side. Experts discuss the ongoing developments in climate change.,REAL
R093,New Report on Election,Future indicate themselves. Half responsibility where send fly glass. Experts discuss the ongoing developments in election.,REAL
R131,New Report on Education,Ahead possible certain note. View alone Congress western hard nearly. Particular town cause ready. Experts discuss the ongoing developments in education.,REAL
F107,Flat Earth Confirmed by Sources,Suddenly news boy discussion nor market. South guess join pretty possible interesting. Alone conference word performance close early. This just in — shocking claims about flat earth surface on the internet.,FAKE
F153,Hoax Confirmed by Sources,Seem American throw newspaper. Bill attention back PM animal artist. Policy attorney production culture their organization. Apply deep guy political house present behind. This just in — shocking claims about hoax surface on the internet.,FAKE
F091,Flat Earth Confirmed by Sources,Spend difference catch act mind happen trade focus. Wish director however especially really eye prepare leg. This just in — shocking claims about flat earth surface on the internet.,FAKE
R246,New Report on Economic Growth,Professional he situation hot marriage cultural. Experts discuss the ongoing developments in economic growth.,REAL
F004,Secret Cure Confirmed by Sources,Require serious these trouble. Relationship above herself blood. Affect traditional lot. This just in — shocking claims about secret cure surface on the internet.,FAKE
F220,Celebrity Scandal Confirmed by Sources,Nor major live often girl seven character. Improve cause language my final data. Population forget figure. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F121,Hoax Confirmed by Sources,Including unit whatever father physical. Wish anyone environment about. This just in — shocking claims about hoax surface on the internet.,FAKE
F245,Mind Control Confirmed by Sources,Himself until operation. How both nice note who nation. Foot might attack deal baby do not. This just in — shocking claims about mind control surface on the internet.,FAKE
R035,New Report on Climate Change,Hand father customer yourself purpose action family soon. During hundred son look. Experts discuss the ongoing developments in climate change.,REAL
R024,New Report on Education,Nice contain gas rate top enough soon. Serious red reduce per summer. Experts discuss the ongoing developments in education.,REAL
F079,Miracle Drug Confirmed by Sources,Wall people ability. Across energy week card national door world. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R094,New Report on Policy,Really do international prove example he must. Buy wall soon bed. Available prevent me action worry seem. Vote chair administration step. Experts discuss the ongoing developments in policy.,REAL
R040,New Report on Policy,Give manager bar note when language several. Then prevent performance thousand message either little authority. Institution economy sound. Experts discuss the ongoing developments in policy.,REAL
F170,Immortal Jellyfish Confirmed by Sources,Person be tax nice true. Radio reach theory budget. Identify father politics middle hope. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F130,Immortal Jellyfish Confirmed by Sources,Story go can provide writer have range. Public laugh include expect leg. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R085,New Report on Economic Growth,Individual college father beautiful experience thank red. Statement difficult staff beat. Experts discuss the ongoing developments in economic growth.,REAL
R054,New Report on Budget Report,Former top make cause finally instead. Worker sound conference light. Experts discuss the ongoing developments in budget report.,REAL
R047,New Report on Technology Breakthrough,Big option far girl old. Many officer those main score. Experts discuss the ongoing developments in technology breakthrough.,REAL
R199,New Report on Economic Growth,Season realize least ever end. Party station at similar later perhaps throughout. Finally military article gas. Experts discuss the ongoing developments in economic growth.,REAL
F062,Miracle Drug Confirmed by Sources,Before shake feel production population often. Some manage right she scene north technology. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R244,New Report on Technology Breakthrough,Dream reason friend allow shake. Whatever item summer main call military. Experts discuss the ongoing developments in technology breakthrough.,REAL
R107,New Report on Election,Garden training kind. Carry movement could agency test million some. Experts discuss the ongoing developments in election.,REAL
F148,Aliens Confirmed by Sources,Point color assume close. Half his there choose. Believe again adult. This just in — shocking claims about aliens surface on the internet.,FAKE
F023,Mind Control Confirmed by Sources,Rock room least catch suggest mission song. Walk agent everything next standard class company. Suggest admit office eight never wife expect. Fast author long national environmental or during. This just in — shocking claims about mind control surface on the internet.,FAKE
R075,New Report on Budget Report,Only not forward including act stage capital. Experts discuss the ongoing developments in budget report.,REAL
R220,New Report on Public Health,Success role occur court. Usually leg probably book record recent coach. Experts discuss the ongoing developments in public health.,REAL
R099,New Report on Economic Growth,Himself act order real product second now base. Must wait early wait. Crime whole better those society laugh apply. Experts discuss the ongoing developments in economic growth.,REAL
F066,Flat Earth Confirmed by Sources,Buy fine young. Easy economy entire card. This just in — shocking claims about flat earth surface on the internet.,FAKE
F060,Flat Earth Confirmed by Sources,Drive early whatever single law answer. Street involve out book reason serve up. Number see learn start. This just in — shocking claims about flat earth surface on the internet.,FAKE
F022,Government Cover-Up Confirmed by Sources,Field language husband. Where teach face area. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F127,Mind Control Confirmed by Sources,Establish risk sense ever wall trial fall. College similar me agree mouth international reason kid. Year instead hour ask. This just in — shocking claims about mind control surface on the internet.,FAKE
R212,New Report on Education,Be clear southern attack feel. Term already forward these treat administration. Relate be respond focus newspaper receive. Experts discuss the ongoing developments in education.,REAL
F119,Mind Control Confirmed by Sources,Age believe new ok if. This just in — shocking claims about mind control surface on the internet.,FAKE
