id,filtered_words,label_indexed,prediction
F004,"[require, serious, trouble., relationship, blood., affect, traditional, lot., —, shocking, claims, secret, cure, surface, internet.]",0.0,0.0
F009,"[argue, use, back, letter, various, action, learn., indeed, good, society, term, together, allow., develop, cut, education, realize, nothing., lose, evidence, modern, ground, view., —, shocking, claims, celebrity, scandal, surface, internet.]",0.0,0.0
F019,"[find, house, start, offer., product, director, describe, paper., hotel, democrat, learn, likely, too., —, shocking, claims, immortal, jellyfish, surface, internet.]",0.0,0.0
F021,"[single, present, look, doctor, take, evening., guess, edge, use, tax, along., pick, us, decision, serious., —, shocking, claims, secret, cure, surface, internet.]",0.0,0.0
F022,"[field, language, husband., teach, face, area., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F028,"[statement, fill, friend, allow, surface, child., situation, quite, recognize, sit., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
F039,"[since, total, various, money, wide, begin., size, situation, strategy, southern, usually, chance, page, particular., —, shocking, claims, aliens, surface, internet.]",0.0,0.0
F053,"[serve, leader, chair, study, thousand., rise, manage, city, door, culture, without., right, institution, notice, may, per, shoulder., —, shocking, claims, hoax, surface, internet.]",0.0,0.0
F062,"[shake, feel, production, population, often., manage, right, scene, north, technology., —, shocking, claims, miracle, drug, surface, internet.]",0.0,0.0
F070,"[phone, gas, beautiful., also, season, cultural, stage, thought, face, couple., suddenly, system, wear, care, expert, lawyer, democrat., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F072,"[us, article, note, help, board, small, yet., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
F074,"[develop, hand, image, else, local., bag, military, guess, beautiful, film, purpose., —, shocking, claims, secret, cure, surface, internet.]",0.0,0.0
F086,"[whose, either, agent., memory, economy, push, current, turn, network., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F088,"[clearly, agency, decision, cultural, mouth., seem, relate, stop, edge., matter, throughout, bed, question, read, provide., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F119,"[age, believe, new, ok, if., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
F122,"[whose, others, international, child, reason., suddenly, inside, poor, outside, sit., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
F123,"[save, democratic, finish, shoulder., wrong, court, teacher, growth, quite, rock., —, shocking, claims, celebrity, scandal, surface, internet.]",0.0,0.0
F125,"[real, anything, challenge, entire, town, leader., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F128,"[morning, bed, thought., much, bit, tend, region., several, western, level, toward, message, value., —, shocking, claims, immortal, jellyfish, surface, internet.]",0.0,0.0
F130,"[story, go, provide, writer, range., public, laugh, include, expect, leg., —, shocking, claims, immortal, jellyfish, surface, internet.]",0.0,0.0
F136,"[bill, building, world, fill, line, five., industry, never, case., recent, local, network, play, although, feeling, sell, so., often, action, east, cost, various, difficult., —, shocking, claims, miracle, drug, surface, internet.]",0.0,0.0
