id,title,filtered_words,label
R129,New Report on Election,"[base, actually, late, fly, always, plan, test., lead, significant, guess., many, picture, time, game., experts, discuss, ongoing, developments, election.]",REAL
R227,New Report on Climate Change,"[month, section, build, name., type, wrong, total., experts, discuss, ongoing, developments, climate, change.]",REAL
F231,Aliens Confirmed by Sources,"[wide, difficult, hand, stay, performance, special, spend., quality, guess, develop, firm, together, bag, knowledge., pretty, system, word., —, shocking, claims, aliens, surface, internet.]",FAKE
R066,New Report on Policy,"[father, raise, create, serve, guy, spring, picture., life, fire, decide, can., experts, discuss, ongoing, developments, policy.]",REAL
F095,Mind Control Confirmed by Sources,"[everybody, age, population, candidate, talk., choice, mr., move, thus, oil, response, character, size., —, shocking, claims, mind, control, surface, internet.]",FAKE
R174,New Report on Policy,"[believe, beyond, power, include, today, someone, most., find, job, sea., experts, discuss, ongoing, developments, policy.]",REAL
R201,New Report on Public Health,"[whatever, girl, finally., soon, front, station, performance., experts, discuss, ongoing, developments, public, health.]",REAL
R072,New Report on Education,"[maybe, open, ever., choose, strategy, leg, make., experts, discuss, ongoing, developments, education.]",REAL
R064,New Report on Research,"[speak, talk, loss, real, media., certainly, kitchen, glass, worker., new, big, question, money., experts, discuss, ongoing, developments, research.]",REAL
F037,Miracle Drug Confirmed by Sources,"[morning, fill, fish, protect, industry, peace., range, mouth, stay, right, control., body, material, form, game, tonight., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
R170,New Report on Technology Breakthrough,"[star, federal, start, exist, expert, west., huge, enough, without, page., experts, discuss, ongoing, developments, technology, breakthrough.]",REAL
F110,Celebrity Scandal Confirmed by Sources,"[new, person, water, space, box, would., drive, owner, here., —, shocking, claims, celebrity, scandal, surface, internet.]",FAKE
F048,Secret Cure Confirmed by Sources,"[court, year, kid, else, order., various, cup, peace., —, shocking, claims, secret, cure, surface, internet.]",FAKE
F082,Hoax Confirmed by Sources,"[hear, writer, hotel, minute, seek., increase, prevent., —, shocking, claims, hoax, surface, internet.]",FAKE
F187,Miracle Drug Confirmed by Sources,"[authority, doctor, approach, wall, produce, fill., continue, live, different, media., try, natural, within, stuff, issue, keep, speak., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
F027,Miracle Drug Confirmed by Sources,"[realize, station, sure, kind, sea, thing., add, culture, success, key, power, ground., mind, wife, plant, bit, loss., drug, next, subject., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
F202,Hoax Confirmed by Sources,"[cell, hotel, hand, agent, player, explain., thousand, street, wall, unit, training, door., —, shocking, claims, hoax, surface, internet.]",FAKE
F197,Secret Cure Confirmed by Sources,"[course, personal, offer, concern, focus., —, shocking, claims, secret, cure, surface, internet.]",FAKE
R128,New Report on Climate Change,"[become, summer, series, page, subject, huge., experts, discuss, ongoing, developments, climate, change.]",REAL
