id,filtered_words,features,label_indexed
R129,"[base, actually, late, fly, always, plan, test., lead, significant, guess., many, picture, time, game., experts, discuss, ongoing, developments, election.]","(262144,[17128,39928,41348,68727,72462,79779,121517,132975,134000,156055,177466,185228,192742,195421,196975,215322,232427,235217,245044],[4.607168188650764,4.019381523748645,2.7508701982851385,4.42484663185681,0.6871770135734415,3.8187108282864943,4.137164559405029,3.914021008090819,5.117993812416755,5.117993812416755,0.691153161953081,3.8187108282864943,0.6832166123573445,4.019381523748645,0.691153161953081,5.117993812416755,4.607168188650764,4.42484663185681,3.914021008090819])",1.0
R227,"[month, section, build, name., type, wrong, total., experts, discuss, ongoing, developments, climate, change.]","(262144,[62070,72462,73499,75181,88279,177466,185509,192742,196975,201440,202775,215686,221128],[4.830311739964974,0.6871770135734415,2.7508701982851385,4.137164559405029,5.117993812416755,0.691153161953081,2.849310271098391,0.6832166123573445,0.691153161953081,4.019381523748645,5.523458920524919,5.117993812416755,4.270695952029551])",1.0
F231,"[wide, difficult, hand, stay, performance, special, spend., quality, guess, develop, firm, together, bag, knowledge., pretty, system, word., —, shocking, claims, aliens, surface, internet.]","(262144,[3665,20575,23071,35623,38426,43890,73249,76162,118164,125177,132543,145568,147224,160860,169118,178266,189716,198400,205470,206596,232367,241735,251461],[0.6871770135734415,4.607168188650764,4.137164559405029,0.691153161953081,0.691153161953081,4.270695952029551,4.270695952029551,0.691153161953081,5.117993812416755,4.42484663185681,4.270695952029551,4.830311739964974,4.019381523748645,4.019381523748645,4.830311739964974,2.958509563063383,3.914021008090819,0.691153161953081,5.117993812416755,3.8187108282864943,4.019381523748645,3.914021008090819,5.523458920524919])",0.0
R066,"[father, raise, create, serve, guy, spring, picture., life, fire, decide, can., experts, discuss, ongoing, developments, policy.]","(262144,[3564,11949,56101,57799,72462,87623,91799,122832,125055,161102,171368,172517,177466,189996,192742,196975],[4.830311739964974,4.137164559405029,4.42484663185681,5.117993812416755,0.6871770135734415,4.42484663185681,4.607168188650764,2.8154087194227095,5.523458920524919,4.019381523748645,3.914021008090819,4.270695952029551,0.691153161953081,4.270695952029551,0.6832166123573445,0.691153161953081])",1.0
F095,"[everybody, age, population, candidate, talk., choice, mr., move, thus, oil, response, character, size., —, shocking, claims, mind, control, surface, internet.]","(262144,[3665,35623,38426,59317,59514,73171,76162,117012,147703,159066,164737,165688,170688,174703,198400,216308,218285,226582,260465,260611],[0.6871770135734415,0.691153161953081,0.691153161953081,4.019381523748645,3.914021008090819,4.270695952029551,0.691153161953081,5.523458920524919,4.137164559405029,5.117993812416755,5.523458920524919,2.8154087194227095,2.920769235080536,5.117993812416755,0.691153161953081,4.019381523748645,4.830311739964974,4.019381523748645,4.270695952029551,4.270695952029551])",0.0
R174,"[believe, beyond, power, include, today, someone, most., find, job, sea., experts, discuss, ongoing, developments, policy.]","(262144,[43700,64238,72462,78896,91878,99197,122832,138905,148039,177466,192742,196975,221812,225157,246751],[4.830311739964974,4.607168188650764,0.6871770135734415,3.8187108282864943,4.019381523748645,5.117993812416755,2.8154087194227095,4.019381523748645,4.607168188650764,0.691153161953081,0.6832166123573445,0.691153161953081,3.6516567436233283,4.270695952029551,4.42484663185681])",1.0
R201,"[whatever, girl, finally., soon, front, station, performance., experts, discuss, ongoing, developments, public, health.]","(262144,[13781,30539,72462,89964,143057,174506,177466,183375,188515,192742,196223,196975,218360],[4.137164559405029,3.125563647726549,0.6871770135734415,5.523458920524919,4.019381523748645,3.0385522707369192,0.691153161953081,3.914021008090819,5.117993812416755,0.6832166123573445,4.42484663185681,0.691153161953081,3.7316994512968646])",1.0
R072,"[maybe, open, ever., choose, strategy, leg, make., experts, discuss, ongoing, developments, education.]","(262144,[72462,109082,111224,120594,142931,163314,169527,177466,192742,196975,199991,217492],[0.6871770135734415,4.607168188650764,5.523458920524919,3.7316994512968646,4.137164559405029,4.42484663185681,4.019381523748645,0.691153161953081,0.6832166123573445,0.691153161953081,2.6330871626287546,5.523458920524919])",1.0
R064,"[speak, talk, loss, real, media., certainly, kitchen, glass, worker., new, big, question, money., experts, discuss, ongoing, developments, research.]","(262144,[10617,64145,72125,72462,89833,93722,101796,110689,147164,172888,174475,177466,181499,190212,192742,196975,204931,238320],[4.42484663185681,4.137164559405029,4.42484663185681,0.6871770135734415,3.8187108282864943,2.8844015909096608,4.607168188650764,4.607168188650764,4.019381523748645,4.42484663185681,3.8187108282864943,0.691153161953081,4.830311739964974,4.270695952029551,0.6832166123573445,0.691153161953081,4.42484663185681,5.117993812416755])",1.0
F037,"[morning, fill, fish, protect, industry, peace., range, mouth, stay, right, control., body, material, form, game, tonight., —, shocking, claims, miracle, drug, surface, internet.]","(262144,[3665,34121,35623,38426,49250,68723,73199,73249,76162,87257,111168,126783,131016,131672,138021,138895,159733,185056,189056,198400,203950,205460,229166],[0.6871770135734415,5.523458920524919,0.691153161953081,0.691153161953081,4.607168188650764,4.42484663185681,3.914021008090819,4.270695952029551,0.691153161953081,4.137164559405029,4.42484663185681,4.137164559405029,3.125563647726549,4.137164559405029,5.523458920524919,4.830311739964974,4.607168188650764,5.117993812416755,3.914021008090819,0.691153161953081,5.523458920524919,2.849310271098391,4.019381523748645])",0.0
R170,"[star, federal, start, exist, expert, west., huge, enough, without, page., experts, discuss, ongoing, developments, technology, breakthrough.]","(262144,[16004,45190,46309,56956,72462,109315,113004,177466,183339,192742,195459,196975,211529,213314,247026,257866],[3.914021008090819,4.42484663185681,4.830311739964974,2.579019941358479,0.6871770135734415,4.830311739964974,4.019381523748645,0.691153161953081,4.137164559405029,0.6832166123573445,2.7200985396183848,0.691153161953081,4.137164559405029,4.42484663185681,3.6516567436233283,4.019381523748645])",1.0
F110,"[new, person, water, space, box, would., drive, owner, here., —, shocking, claims, celebrity, scandal, surface, internet.]","(262144,[3665,22370,25838,35623,38426,42576,45252,67117,76162,89833,109509,146821,152049,181561,195730,198400],[0.6871770135734415,4.270695952029551,2.849310271098391,0.691153161953081,0.691153161953081,5.523458920524919,3.914021008090819,4.137164559405029,0.691153161953081,3.8187108282864943,4.607168188650764,3.914021008090819,3.914021008090819,2.849310271098391,5.117993812416755,0.691153161953081])",0.0
F048,"[court, year, kid, else, order., various, cup, peace., —, shocking, claims, secret, cure, surface, internet.]","(262144,[3665,5451,31064,35623,38426,61676,67562,76162,92891,154659,160983,185056,198400,221315,250372],[0.6871770135734415,4.270695952029551,4.019381523748645,0.691153161953081,0.691153161953081,5.117993812416755,4.137164559405029,0.691153161953081,2.5530444549552183,4.270695952029551,4.019381523748645,5.117993812416755,0.691153161953081,4.42484663185681,2.5530444549552183])",0.0
F082,"[hear, writer, hotel, minute, seek., increase, prevent., —, shocking, claims, hoax, surface, internet.]","(262144,[3665,35623,38426,47819,76162,91031,101641,111229,111370,137786,179514,198400,202258],[0.6871770135734415,0.691153161953081,0.691153161953081,3.914021008090819,0.691153161953081,3.914021008090819,2.60568818844064,4.607168188650764,4.42484663185681,5.523458920524919,4.607168188650764,0.691153161953081,5.117993812416755])",0.0
F187,"[authority, doctor, approach, wall, produce, fill., continue, live, different, media., try, natural, within, stuff, issue, keep, speak., —, shocking, claims, miracle, drug, surface, internet.]","(262144,[3665,13784,24693,32890,33053,35623,38308,38426,39239,76162,81210,106672,114614,131016,131449,198400,201479,201547,205460,213605,238320,244857,251464,256508],[0.6871770135734415,4.137164559405029,5.117993812416755,4.270695952029551,4.019381523748645,0.691153161953081,3.7316994512968646,0.691153161953081,4.270695952029551,0.691153161953081,3.8187108282864943,4.270695952029551,5.523458920524919,3.125563647726549,4.42484663185681,0.691153161953081,4.137164559405029,4.019381523748645,2.849310271098391,4.019381523748645,5.117993812416755,3.914021008090819,4.830311739964974,4.270695952029551])",0.0
F027,"[realize, station, sure, kind, sea, thing., add, culture, success, key, power, ground., mind, wife, plant, bit, loss., drug, next, subject., —, shocking, claims, miracle, drug, surface, internet.]","(262144,[3665,4254,34502,35623,38426,48063,54961,67009,76162,78896,79132,88354,131016,134125,137151,137765,157205,162155,170688,196223,198400,201517,205460,232869,260940,261172],[0.6871770135734415,3.914021008090819,5.117993812416755,0.691153161953081,0.691153161953081,4.607168188650764,4.019381523748645,4.137164559405029,0.691153161953081,3.8187108282864943,4.019381523748645,5.523458920524919,3.125563647726549,3.914021008090819,4.607168188650764,4.270695952029551,5.117993812416755,4.019381523748645,2.920769235080536,4.42484663185681,0.691153161953081,4.137164559405029,5.698620542196782,4.019381523748645,4.019381523748645,4.137164559405029])",0.0
